Compa,NAICS,Latit,Longi
ADVANCE AMERICA,CONSUMER LENDING,34.751964,-86.748458
CHECK INTO CASH,CONSUMER LENDING,34.748645,-86.600855
ADVANCE AMERICA,CONSUMER LENDING,33.685878,-87.830988
ALABAMA TITLE LOANS,CONSUMER LENDING,33.237991,-87.56675
FIRST FEDERAL FINANCE,CONSUMER LENDING,30.719222,-88.153976
CPS,CONSUMER LENDING,30.673838,-87.876639
COMPLETE CASH,CONSUMER LENDING,34.711401,-86.591275
RIVERWIND BANK,CONSUMER LENDING,35.282829,-91.357207
WESTPARK SERVICES LLC,CONSUMER LENDING,35.309471,-94.297394
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,33.632791,-86.683369
REPUBLIC FINANCE INC,CONSUMER LENDING,31.335308,-85.857114
CASH COW,CONSUMER LENDING,31.225719,-85.401937
ADVANCE AMERICA,CONSUMER LENDING,33.652949,-86.820778
CHECK INTO CASH,CONSUMER LENDING,33.495308,-112.151314
HUNTSVILLE FINANCE CO,CONSUMER LENDING,34.738599,-86.626913
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.513184,-86.21467
TOWER LOAN,CONSUMER LENDING,33.239409,-87.597746
CHECK 'N GO,CONSUMER LENDING,33.563521,-86.520799
COMMUNITY LOANS OF AMERICA,CONSUMER LENDING,30.637056,-88.140438
GREAT AMERICAN LOANS,CONSUMER LENDING,32.384692,-86.253485
WEST PLAINS BANK-TRUST CO LOAN,CONSUMER LENDING,36.355278,-92.335405
ABC CREDIT,CONSUMER LENDING,34.593635,-86.980572
FIRST SECURITY BANK,CONSUMER LENDING,35.250481,-91.737172
QC FINANCIAL SVC,CONSUMER LENDING,33.840533,-87.233646
TITLE MAX,CONSUMER LENDING,33.178251,-87.525536
CHECK INTO CASH,CONSUMER LENDING,33.236939,-87.611399
MARINER FINANCE,CONSUMER LENDING,34.141035,-87.988541
NORTH ALABAMA TITLE CO,CONSUMER LENDING,33.930149,-87.815282
CHECK 'N GO,CONSUMER LENDING,33.240055,-87.582375
FIRST STATE LOANS INC,CONSUMER LENDING,34.440783,-86.940704
FIRST BANK FNCL CTR-LOAN PRCNG,CONSUMER LENDING,55.349031,-131.671017
COVINGTON CREDIT CORP,CONSUMER LENDING,32.936299,-85.969836
COVINGTON CREDIT CORP,CONSUMER LENDING,32.840627,-86.632094
CREDITCENTRAL,CONSUMER LENDING,34.594248,-86.980606
ALWAYS MONEY,CONSUMER LENDING,33.8488,-87.2804
CEDAR TREE FINANCE CO INC,CONSUMER LENDING,34.143406,-87.988861
ONE STOP CASH,CONSUMER LENDING,31.84822,-86.638814
SECURITY FINANCE,CONSUMER LENDING,34.157071,-86.834379
ADVANCE AMERICA,CONSUMER LENDING,30.887326,-87.789159
TITLE CASH,CONSUMER LENDING,32.547671,-86.191038
WORLD FINANCE,CONSUMER LENDING,33.849915,-87.267212
PEOPLES CREDIT OF LAKE CITY,CONSUMER LENDING,34.363487,-86.290858
TITLE MAX,CONSUMER LENDING,32.521168,-86.209507
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.465207,-86.45106
TRITON ALWAYS MONEY,CONSUMER LENDING,33.197135,-87.529982
ADVANCE AMERICA,CONSUMER LENDING,33.80531,-85.762702
TOWER LOAN,CONSUMER LENDING,34.249343,-86.177886
COVINGTON CREDIT CORP,CONSUMER LENDING,32.422387,-85.69211
WORLD FINANCE,CONSUMER LENDING,30.607136,-87.897735
CREDITCENTRAL,CONSUMER LENDING,33.8376,-87.2273
MONEY IN A FLASH,CONSUMER LENDING,33.237366,-87.576842
1ST ADVANTAGE FINANCIAL,CONSUMER LENDING,34.582887,-86.980194
ADVANCE AMERICA,CONSUMER LENDING,34.668419,-86.006619
REGIONAL FINANCE CORP,CONSUMER LENDING,30.604349,-88.1651
ONEMAIN FINANCIAL,CONSUMER LENDING,31.247383,-85.428773
WHEELER ENTERPRISES,CONSUMER LENDING,31.243998,-85.420045
