tract,u1,1t4,5t9,10t14,15t19,20t24,25t34,35t44,45t54,55t64,65t74,75t84,85p,Total
12086001003,1,,,,,1,4,,3,12,14,19,7,61
12086001004,1,,,,5,4,3,2,4,8,8,17,4,56
12086001005,,,,,,,2,,1,6,12,6,7,34
12086001006,,,,,,,1,1,2,6,9,3,3,25
12086001101,,,,,,,,,3,8,6,12,26,55
12086001102,2,,,,,,,2,4,5,2,8,7,30
12086001103,3,,,,,,2,1,4,7,6,4,4,31
12086001104,,,,,,,1,1,2,3,5,6,11,29
12086001203,1,,,,,,2,1,5,10,13,7,6,45
12086001204,,,,,,,1,2,2,1,5,7,20,38
12086001205,,,,,,,,,,3,4,2,9,18
12086001206,,,,,,1,,1,2,5,5,8,16,38
12086001301,,,,,1,,1,2,2,7,1,1,10,25
12086001302,,,,,1,,1,,1,5,4,6,7,25
12086001401,,1,,,,2,,3,5,8,13,11,6,49
12086001402,1,,,,,2,1,,,8,10,6,4,32
12086001501,,,,,2,1,1,1,4,5,5,5,3,27
12086001502,2,,,,,1,2,3,6,15,7,11,6,53
12086001602,,,,,,1,,,5,6,9,16,30,67
12086001603,,,,,,,,,2,,6,9,11,28
12086001605,,,,,,,,,4,8,6,14,17,49
12086001606,,,,,,,,,5,2,8,9,14,38
12086001701,,,,,1,1,4,3,4,6,10,10,5,44
12086001702,,,,,,,1,1,1,5,7,8,6,29
12086001703,,,,,,1,,2,2,6,4,15,14,44
12086001801,1,,,,2,4,1,1,4,6,5,6,9,39
12086001802,,,,,,1,,1,8,10,6,12,7,45
12086001803,,,,,1,,2,1,3,4,11,18,6,46
12086001901,1,,,,,1,1,,3,8,4,9,8,35
12086001903,2,,,,1,2,,3,4,4,7,6,1,30
12086001904,,,,,,2,4,1,6,4,10,14,9,50
12086002001,2,,1,,1,,1,,4,5,8,10,4,36
12086002003,1,,,,,1,3,2,6,7,6,5,1,32
12086002004,1,,,,,1,1,,1,4,5,5,2,20
12086002100,,,,,,,,,4,2,1,3,5,15
12086002201,,1,,,,,1,,,2,12,20,49,85
12086002202,1,,,,1,1,1,3,4,8,14,9,18,60
12086002300,3,,,,,2,3,3,5,17,3,10,14,60
12086002402,,,,,,1,,5,4,7,13,10,6,46
12086002403,,,,,,,,1,2,2,6,6,4,21
